key;en;pt
START_GAME;Start Game;Começar Jogo
OPTIONS;Options;Opcoes
LOAD_GAME;Load Game;Carregar Jogo
QUIT;Quit;Sair
SWORD_NAME;Sword;Espada
BOW_NAME;Bow;Arco
BOMB_NAME;Bomb;Bomba
HEAL_STAFF_NAME;Heal Staff;Cajado de Cura
SHIELD_NAME;Shield;Escudo
BOOTS_OF_SPEED_NAME;Boots of Speed;Botas da Velocidade
RING_OF_DASH_NAME;Ring of Dash;Anel do Lampejo
NECKLACE_OF_PROTECTION_NAME;Necklace of Protection;Colar da Proteção
SWORD_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
BOW_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
BOMB_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
HEAL_STAFF_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
SHIELD_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
BOOTS_OF_SPEED_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
RING_OF_DASH_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
NECKLACE_OF_PROTECTION_DESCRIPTION;test;Esta espada é uma herança dos antigos Guardiões da Luz, forjada nas chamas de um vulcão sagrado e temperada com água de um rio cristalino. Ela emite um brilho suave, lembrando os tempos de paz em xxx.
UNLOCKED_ITEM;????;????
SELECT_EN;English;Inglês
SELECT_PT;Portuguese;Português
SELECT_LANGUAGE_TITLE;Select your language;Selecione seu idioma
Z_TO_CONFIRM;Press Z to confirm;Precione Z para confirmar
COLLECT_SOULS_DESCRIPTION;teste;teste
CANT_GO_BACK;teste;Não desista de sua aventura, Herói.
INTRODUCTION;teste;
RONAN_DIALOG_1;teste;Herói, ainda bem que você está aqui.
RONAN_DIALOG_2;teste;É perigoso ir sozinho, pegue isto!
RONAN_DIALOG_3;teste;Uma espada magica que vai te ajudar a derrotar os montros deste mundo.
RONAN_DIALOG_4;teste;Precione a tecla {action_3} para interagir com objetos.
RONAN_QUEST_1;teste;Herói, tenho uma missão para você.
RONAN_QUEST_2;teste;Encontre Wanny na parte esquerda da Floresta Negra.
RONAN_QUEST_3;teste;Ela tem uma Reliquia importante para você.
RONAN_QUEST_4;teste;Ao precionar {start} você abrir o painel de Missões.
OPEN_CHEST_SWORD_1;teste;Parabéns você pegou a Espada.
OPEN_CHEST_SWORD_2;teste;Ela irá direto ao seu inventorio rapido, localizado na parte inferior da tela.
OPEN_CHEST_SWORD_3;teste;Para equipar ela, precione as teclas A ou S para se movimentar pelo inventario rapido.
OPEN_CHEST_SWORD_4;teste;Depois precione D ou F para equipar nos espectivos Z ou X.
OPEN_CHEST_SWORD_5;teste;Você pode tambem checar o painel de Inventario pelo {start}.
